Attack,Host,Run,Mode,Power (W),Attack Type,Measurement,Current (A),Current (mA)
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.9,Denial of Service,ACS712,0.58,580
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.405,Denial of Service,ACS712,0.481,481
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,3.065,Denial of Service,ACS712,0.613,613
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,3.3950000000000005,Denial of Service,ACS712,0.679,679
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.9349999999999996,Denial of Service,ACS712,0.587,587
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.175,Denial of Service,ACS712,0.435,435
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.64,Denial of Service,ACS712,0.528,528
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,3.4949999999999997,Denial of Service,ACS712,0.699,699
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,3.1,Denial of Service,ACS712,0.62,620
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.7700000000000005,Denial of Service,ACS712,0.554,554
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.805,Denial of Service,ACS712,0.561,561
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,3.3000000000000003,Denial of Service,ACS712,0.66,660
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,3.5949999999999998,Denial of Service,ACS712,0.719,719
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,3.3950000000000005,Denial of Service,ACS712,0.679,679
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.11,Denial of Service,ACS712,0.422,422
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.67,Denial of Service,ACS712,0.534,534
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.64,Denial of Service,ACS712,0.528,528
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.7350000000000003,Denial of Service,ACS712,0.547,547
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,3.5599999999999996,Denial of Service,ACS712,0.712,712
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.605,Denial of Service,ACS712,0.521,521
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.44,Denial of Service,ACS712,0.488,488
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.605,Denial of Service,ACS712,0.521,521
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.405,Denial of Service,ACS712,0.481,481
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.7700000000000005,Denial of Service,ACS712,0.554,554
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,3.2,Denial of Service,ACS712,0.64,640
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.54,Denial of Service,ACS712,0.508,508
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.405,Denial of Service,ACS712,0.481,481
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.21,Denial of Service,ACS712,0.442,442
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.44,Denial of Service,ACS712,0.488,488
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.7700000000000005,Denial of Service,ACS712,0.554,554
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.67,Denial of Service,ACS712,0.534,534
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.9699999999999998,Denial of Service,ACS712,0.594,594
