Attack,Host,Run,Mode,CPU Temperature (°C),CPU Usage (%),Memory Usage (%),Attack Type,Measurement,Timestamp
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Idle,43.8,22.2,2.6371,Denial of Service,System,03:33:26.454
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Idle,43.8,36.4,2.64155,Denial of Service,System,03:33:27.687
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Idle,44.8,22.2,2.6384,Denial of Service,System,03:33:28.915
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Idle,44.3,22.2,2.6383,Denial of Service,System,03:33:30.148
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Idle,43.3,0.0,2.63515,Denial of Service,System,03:33:31.366
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Idle,44.8,25.0,2.63385,Denial of Service,System,03:33:32.595
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Idle,44.8,22.2,2.6369,Denial of Service,System,03:33:33.825
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Idle,44.3,25.0,2.64786,Denial of Service,System,03:33:35.054
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Idle,43.8,22.2,2.64135,Denial of Service,System,03:33:36.294
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Idle,44.8,22.2,2.6282,Denial of Service,System,03:33:37.527
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Idle,43.3,22.2,2.64135,Denial of Service,System,03:33:38.759
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Idle,43.3,22.2,2.64321,Denial of Service,System,03:33:39.993
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Idle,44.3,22.2,2.62515,Denial of Service,System,03:33:41.224
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Idle,44.8,22.2,2.64441,Denial of Service,System,03:33:42.467
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Idle,43.3,12.5,2.64961,Denial of Service,System,03:33:43.697
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Idle,44.3,30.0,2.65386,Denial of Service,System,03:33:44.938
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Idle,43.8,22.2,2.65246,Denial of Service,System,03:33:46.173
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Idle,44.3,30.0,2.65246,Denial of Service,System,03:33:47.401
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Idle,43.8,25.0,2.65246,Denial of Service,System,03:33:48.630
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Idle,44.3,30.0,2.64616,Denial of Service,System,03:33:49.856
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Idle,44.3,33.3,2.64711,Denial of Service,System,03:33:51.090
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Idle,44.3,22.2,2.6244,Denial of Service,System,03:33:52.323
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Idle,44.3,22.2,2.62735,Denial of Service,System,03:33:53.567
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Idle,44.3,22.2,2.6318,Denial of Service,System,03:33:54.798
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Idle,43.3,14.3,2.62235,Denial of Service,System,03:33:56.024
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Idle,43.3,25.0,2.62845,Denial of Service,System,03:33:57.255
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Idle,43.8,25.0,2.63335,Denial of Service,System,03:33:58.496
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Idle,45.2,22.2,2.63465,Denial of Service,System,03:33:59.726
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Idle,44.3,22.2,2.6367,Denial of Service,System,03:34:00.955
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Idle,44.3,30.0,2.65041,Denial of Service,System,03:34:02.182
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Idle,44.3,25.0,2.65226,Denial of Service,System,03:34:03.411
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Idle,44.8,25.0,2.65041,Denial of Service,System,03:34:04.643
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Idle,43.8,22.2,2.64716,Denial of Service,System,03:34:05.871
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Idle,44.3,30.0,2.65551,Denial of Service,System,03:34:07.109
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Idle,44.3,22.2,2.65346,Denial of Service,System,03:34:08.338
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Idle,44.8,14.3,2.65031,Denial of Service,System,03:34:09.563
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Idle,44.8,22.2,2.64596,Denial of Service,System,03:34:10.789
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Idle,44.3,22.2,2.6428,Denial of Service,System,03:34:12.019
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Idle,44.8,22.2,2.6241,Denial of Service,System,03:34:13.253
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Idle,43.3,30.0,2.625,Denial of Service,System,03:34:14.486
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Idle,44.3,22.2,2.63575,Denial of Service,System,03:34:15.714
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Idle,45.2,22.2,2.64696,Denial of Service,System,03:34:16.944
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Idle,44.8,25.0,2.64065,Denial of Service,System,03:34:18.173
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Idle,44.3,22.2,2.64065,Denial of Service,System,03:34:19.402
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Idle,44.8,30.0,2.6375,Denial of Service,System,03:34:20.643
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Idle,44.8,30.0,2.64401,Denial of Service,System,03:34:21.872
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Idle,43.3,30.0,2.64871,Denial of Service,System,03:34:23.098
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Idle,44.3,25.0,2.65761,Denial of Service,System,03:34:24.329
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Idle,43.3,30.0,2.65316,Denial of Service,System,03:34:25.562
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Idle,43.8,30.0,2.65336,Denial of Service,System,03:34:26.792
