Attack,Host,Run,Mode,Power (W),Attack Type,Measurement,Timestamp,Relative Time (s),Current (A),Voltage (V)
Bstry,Raspberry Pi 4B 2GB,1,Recovery,2.6,Ransomware,ACS712,00:01:30.070,90.07,0.52,2.4
Bstry,Raspberry Pi 4B 2GB,1,Recovery,2.43,Ransomware,ACS712,00:01:31.170,91.17,0.49,2.41
Bstry,Raspberry Pi 4B 2GB,1,Recovery,3.04,Ransomware,ACS712,00:01:32.270,92.27,0.61,2.39
Bstry,Raspberry Pi 4B 2GB,1,Recovery,3.14,Ransomware,ACS712,00:01:33.370,93.37,0.63,2.38
Bstry,Raspberry Pi 4B 2GB,1,Recovery,2.63,Ransomware,ACS712,00:01:34.480,94.48,0.53,2.4
Bstry,Raspberry Pi 4B 2GB,1,Recovery,2.85,Ransomware,ACS712,00:01:35.580,95.58,0.57,2.39
Bstry,Raspberry Pi 4B 2GB,1,Recovery,2.58,Ransomware,ACS712,00:01:36.680,96.68,0.52,2.4
Bstry,Raspberry Pi 4B 2GB,1,Recovery,2.48,Ransomware,ACS712,00:01:37.780,97.78,0.5,2.41
Bstry,Raspberry Pi 4B 2GB,1,Recovery,2.69,Ransomware,ACS712,00:01:38.880,98.88,0.54,2.4
Bstry,Raspberry Pi 4B 2GB,1,Recovery,2.3,Ransomware,ACS712,00:01:39.980,99.98,0.46,2.41
Bstry,Raspberry Pi 4B 2GB,1,Recovery,2.6,Ransomware,ACS712,00:01:41.090,101.09,0.52,2.4
Bstry,Raspberry Pi 4B 2GB,1,Recovery,2.73,Ransomware,ACS712,00:01:42.190,102.19,0.55,2.4
Bstry,Raspberry Pi 4B 2GB,1,Recovery,2.36,Ransomware,ACS712,00:01:43.290,103.29,0.47,2.41
Bstry,Raspberry Pi 4B 2GB,1,Recovery,3.29,Ransomware,ACS712,00:01:44.390,104.39,0.66,2.38
Bstry,Raspberry Pi 4B 2GB,1,Recovery,2.95,Ransomware,ACS712,00:01:45.490,105.49,0.59,2.39
Bstry,Raspberry Pi 4B 2GB,1,Recovery,2.88,Ransomware,ACS712,00:01:46.590,106.59,0.58,2.39
Bstry,Raspberry Pi 4B 2GB,1,Recovery,3.21,Ransomware,ACS712,00:01:47.700,107.7,0.64,2.38
Bstry,Raspberry Pi 4B 2GB,1,Recovery,2.87,Ransomware,ACS712,00:01:48.800,108.8,0.57,2.39
Bstry,Raspberry Pi 4B 2GB,1,Recovery,2.85,Ransomware,ACS712,00:01:49.900,109.9,0.57,2.39
Bstry,Raspberry Pi 4B 2GB,1,Recovery,2.87,Ransomware,ACS712,00:01:51.000,111.0,0.57,2.39
Bstry,Raspberry Pi 4B 2GB,1,Recovery,2.91,Ransomware,ACS712,00:01:52.100,112.1,0.58,2.39
Bstry,Raspberry Pi 4B 2GB,1,Recovery,3.17,Ransomware,ACS712,00:01:53.200,113.2,0.63,2.38
Bstry,Raspberry Pi 4B 2GB,1,Recovery,2.68,Ransomware,ACS712,00:01:54.310,114.31,0.54,2.4
Bstry,Raspberry Pi 4B 2GB,1,Recovery,2.39,Ransomware,ACS712,00:01:55.410,115.41,0.48,2.41
Bstry,Raspberry Pi 4B 2GB,1,Recovery,2.71,Ransomware,ACS712,00:01:56.510,116.51,0.54,2.4
Bstry,Raspberry Pi 4B 2GB,1,Recovery,2.52,Ransomware,ACS712,00:01:57.610,117.61,0.5,2.41
Bstry,Raspberry Pi 4B 2GB,1,Recovery,2.68,Ransomware,ACS712,00:01:58.710,118.71,0.54,2.4
Bstry,Raspberry Pi 4B 2GB,1,Recovery,2.35,Ransomware,ACS712,00:01:59.820,119.82,0.47,2.41
Bstry,Raspberry Pi 4B 2GB,1,Recovery,2.62,Ransomware,ACS712,00:02:00.920,120.92,0.52,2.4
Bstry,Raspberry Pi 4B 2GB,1,Recovery,2.64,Ransomware,ACS712,00:02:02.020,122.02,0.53,2.4
Bstry,Raspberry Pi 4B 2GB,1,Recovery,2.52,Ransomware,ACS712,00:02:03.120,123.12,0.5,2.41
Bstry,Raspberry Pi 4B 2GB,1,Recovery,2.43,Ransomware,ACS712,00:02:04.220,124.22,0.49,2.41
Bstry,Raspberry Pi 4B 2GB,1,Recovery,2.68,Ransomware,ACS712,00:02:05.320,125.32,0.54,2.4
Bstry,Raspberry Pi 4B 2GB,1,Recovery,2.6,Ransomware,ACS712,00:02:06.420,126.42,0.52,2.4
Bstry,Raspberry Pi 4B 2GB,1,Recovery,2.69,Ransomware,ACS712,00:02:07.520,127.52,0.54,2.4
Bstry,Raspberry Pi 4B 2GB,1,Recovery,2.43,Ransomware,ACS712,00:02:08.630,128.63,0.49,2.41
Bstry,Raspberry Pi 4B 2GB,1,Recovery,2.75,Ransomware,ACS712,00:02:09.730,129.73,0.55,2.4
Bstry,Raspberry Pi 4B 2GB,1,Recovery,2.5,Ransomware,ACS712,00:02:10.830,130.83,0.5,2.41
Bstry,Raspberry Pi 4B 2GB,1,Recovery,2.71,Ransomware,ACS712,00:02:11.930,131.93,0.54,2.4
Bstry,Raspberry Pi 4B 2GB,1,Recovery,2.89,Ransomware,ACS712,00:02:13.030,133.03,0.58,2.39
