Attack,Host,Run,Mode,Power (W),Attack Type,Measurement,Current (A),Current (mA)
MHDDoS (UDP),Raspberry Pi 4B 4GB,1,Idle,2.31,Denial of Service,ACS712,0.462,462
MHDDoS (UDP),Raspberry Pi 4B 4GB,1,Idle,2.31,Denial of Service,ACS712,0.462,462
MHDDoS (UDP),Raspberry Pi 4B 4GB,1,Idle,2.21,Denial of Service,ACS712,0.442,442
MHDDoS (UDP),Raspberry Pi 4B 4GB,1,Idle,2.405,Denial of Service,ACS712,0.481,481
MHDDoS (UDP),Raspberry Pi 4B 4GB,1,Idle,2.475,Denial of Service,ACS712,0.495,495
MHDDoS (UDP),Raspberry Pi 4B 4GB,1,Idle,2.475,Denial of Service,ACS712,0.495,495
MHDDoS (UDP),Raspberry Pi 4B 4GB,1,Idle,2.9349999999999996,Denial of Service,ACS712,0.587,587
MHDDoS (UDP),Raspberry Pi 4B 4GB,1,Idle,2.9699999999999998,Denial of Service,ACS712,0.594,594
MHDDoS (UDP),Raspberry Pi 4B 4GB,1,Idle,2.175,Denial of Service,ACS712,0.435,435
MHDDoS (UDP),Raspberry Pi 4B 4GB,1,Idle,2.9,Denial of Service,ACS712,0.58,580
MHDDoS (UDP),Raspberry Pi 4B 4GB,1,Idle,2.605,Denial of Service,ACS712,0.521,521
MHDDoS (UDP),Raspberry Pi 4B 4GB,1,Idle,2.3400000000000003,Denial of Service,ACS712,0.468,468
MHDDoS (UDP),Raspberry Pi 4B 4GB,1,Idle,1.88,Denial of Service,ACS712,0.376,376
MHDDoS (UDP),Raspberry Pi 4B 4GB,1,Idle,1.945,Denial of Service,ACS712,0.389,389
MHDDoS (UDP),Raspberry Pi 4B 4GB,1,Idle,3.135,Denial of Service,ACS712,0.627,627
MHDDoS (UDP),Raspberry Pi 4B 4GB,1,Idle,2.24,Denial of Service,ACS712,0.448,448
MHDDoS (UDP),Raspberry Pi 4B 4GB,1,Idle,2.475,Denial of Service,ACS712,0.495,495
