Attack,Host,Run,Mode,CPU Power (W),CPU Temperature (°C),CPU Usage (%),GPU Memory Usage (%),GPU Temperature (°C),GPU Usage (%),Memory Usage (%),Attack Type,Measurement,Timestamp,CPU Graphics Power (W),CPU Temperature Core #1 (°C),CPU Temperature Core #2 (°C),CPU Temperature Core #3 (°C),CPU Temperature Core #4 (°C),CPU Power Cores (W)
NBMiner (GPU),HP Victus 16-d0417nf,1,Idle,15.7,55.0,6.3,2.4,0.0,0.0,55.9,Cryptojacking,Open Hardware Monitor,08:01:34.000,0.0,49.0,49.0,49.0,49.0,11.8
NBMiner (GPU),HP Victus 16-d0417nf,1,Idle,16.1,64.0,6.7,2.4,0.0,0.0,55.9,Cryptojacking,Open Hardware Monitor,08:01:36.000,0.0,47.0,64.0,48.0,54.0,12.1
NBMiner (GPU),HP Victus 16-d0417nf,1,Idle,15.6,57.0,5.5,2.4,0.0,0.0,55.9,Cryptojacking,Open Hardware Monitor,08:01:38.000,0.0,49.0,51.0,50.0,49.0,11.8
NBMiner (GPU),HP Victus 16-d0417nf,1,Idle,15.3,57.0,5.2,2.4,0.0,0.0,55.9,Cryptojacking,Open Hardware Monitor,08:01:40.000,0.0,49.0,50.0,49.0,57.0,11.4
NBMiner (GPU),HP Victus 16-d0417nf,1,Idle,15.9,62.0,5.6,2.4,0.0,0.0,55.9,Cryptojacking,Open Hardware Monitor,08:01:42.000,0.0,49.0,49.0,49.0,49.0,11.8
NBMiner (GPU),HP Victus 16-d0417nf,1,Idle,16.2,54.0,6.0,2.4,0.0,0.0,55.9,Cryptojacking,Open Hardware Monitor,08:01:44.000,0.0,49.0,50.0,48.0,49.0,12.4
NBMiner (GPU),HP Victus 16-d0417nf,1,Idle,14.8,55.0,6.1,2.4,0.0,0.0,55.9,Cryptojacking,Open Hardware Monitor,08:01:46.000,0.0,48.0,50.0,49.0,48.0,11.0
NBMiner (GPU),HP Victus 16-d0417nf,1,Idle,14.9,56.0,5.7,2.4,0.0,0.0,55.9,Cryptojacking,Open Hardware Monitor,08:01:48.000,0.0,49.0,52.0,47.0,50.0,11.1
NBMiner (GPU),HP Victus 16-d0417nf,1,Idle,14.5,55.0,5.2,2.4,0.0,0.0,55.9,Cryptojacking,Open Hardware Monitor,08:01:50.000,0.1,49.0,49.0,48.0,49.0,10.6
NBMiner (GPU),HP Victus 16-d0417nf,1,Idle,15.8,55.0,5.6,2.4,0.0,0.0,55.9,Cryptojacking,Open Hardware Monitor,08:01:52.000,0.0,49.0,50.0,49.0,48.0,11.8
NBMiner (GPU),HP Victus 16-d0417nf,1,Idle,14.3,54.0,5.2,2.4,0.0,0.0,56.1,Cryptojacking,Open Hardware Monitor,08:01:54.000,0.0,49.0,50.0,48.0,50.0,10.3
NBMiner (GPU),HP Victus 16-d0417nf,1,Idle,8.6,55.0,2.6,2.4,0.0,0.0,55.9,Cryptojacking,Open Hardware Monitor,08:01:56.000,0.1,47.0,50.0,48.0,48.0,4.7
NBMiner (GPU),HP Victus 16-d0417nf,1,Idle,14.7,56.0,5.8,2.4,0.0,0.0,55.9,Cryptojacking,Open Hardware Monitor,08:01:58.000,0.0,49.0,62.0,48.0,52.0,10.7
NBMiner (GPU),HP Victus 16-d0417nf,1,Idle,14.3,60.0,6.2,2.4,0.0,0.0,55.9,Cryptojacking,Open Hardware Monitor,08:02:00.000,0.1,47.0,60.0,49.0,52.0,10.5
NBMiner (GPU),HP Victus 16-d0417nf,1,Idle,15.3,55.0,4.8,2.4,0.0,0.0,56.0,Cryptojacking,Open Hardware Monitor,08:02:02.000,0.0,49.0,50.0,47.0,49.0,11.4
